PROJECT_ID,Initial_completion_date,final_completion_date,Delayed,Amount_of_Delay_(Quarters),Initial_ESTIMATED_COST,Final_Estimated_Budget,Budget_Overrun,percentage_of_overrun,CT_Commercial,CT_Industrial,CT_Infrastructure,CT_Institutional,CT_Residential,CST_Primarily_residential_Single_use,CST_Education,CST_Utilities,CST_Roads_Highways,CST_Oil_Gas,CST_Health,CST_Mixed_Use,CST_Recreation,CST_Office,CST_Others,REGION,Region_Mainland/Southwest,Region_Vancouver_Island/Coast,Region_Thompson-Okanagan,Region_Northeast,Region_others,MUNICIPALITY,Urban,Type_Owner_priv,Type_Owner_prov,Type_Owner_part,Project_Status_Construction_started,Project_Status_Proposed,Project_Status_On_hold,Project_Status_Completed,PUBLIC_FUNDING_IND,GREEN_BUILDING_IND,FIRST_NATION_IND,Times_Delayed,Age,Jobs,Below_Average_Winter_Temp_Quarters,Quarters_with_Above_Average_Snowfall,Quarters_with_Above_Average_Rain
7,2020-Q4,2020-Q4,0,0,150,150,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Colwood,0,0,1,0,1,0,0,0,0,0,0,0,19.5,429,2,4,4
12,2018-Q1,2023-Q1,1,20,1065,1316,1,23.56807512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1. Vancouver Island/Coast,0,1,0,0,0,Esquimalt,0,0,1,0,1,0,0,0,1,0,0,3,20.5,4917,2,4,4
39,2018-Q2,2019-Q3,1,5,100,270,1,170,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Victoria,1,1,0,0,1,0,0,0,0,0,0,2,16.5,342,4,4,3
42,2030-Q4,2030-Q4,0,0,500,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1. Vancouver Island/Coast,0,1,0,0,0,Langford  area,0,1,0,0,0,1,0,0,0,0,0,0,0,420,2,4,4
83,2016-Q2,2016-Q2,0,0,600,600,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,North Vancouver,1,0,1,0,1,0,0,0,1,1,0,0,16.5,496,1,4,5
119,2040-Q4,2040-Q4,0,0,3500,3500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2. Mainland/Southwest,1,0,0,0,0,Squamish,0,1,0,0,0,1,0,0,0,0,1,0,1.5,73,2,4,3
180,2016-Q4,2017-Q3,1,3,104,104,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Furry Creek south of Squamish,0,1,0,0,1,0,0,0,0,0,0,2,20.5,297,2,4,3
267,2030-Q4,2030-Q4,0,0,2100,2100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,1,0,0,0,0,0,0,0,17.5,6006,0,4,2
270,2016-Q4,2019-Q4,1,12,1000,1000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,1,0,0,0,0,0,0,2,12.5,407,0,4,2
282,2016-Q2,2019-Q4,1,14,450,450,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kamloops,1,1,0,0,1,0,0,0,0,0,0,2,22.5,4118,2,7,7
283,2020-Q4,2020-Q4,0,0,250,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,0,0,1,0,0,0,0,0,27.5,1211,0,4,2
284,2016-Q4,2019-Q4,1,12,635,635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kamloops Area,1,1,0,0,1,0,0,0,0,0,0,3,26.5,3077,1,6,5
293,2028-Q4,2028-Q4,0,0,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4. Kootenay,0,0,0,0,1,Invermere area,0,1,0,0,0,0,1,0,0,0,1,0,0,4845,4,8,4
300,2016-Q4,2019-Q4,1,12,250,250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4. Kootenay,0,0,0,0,1,Invermere,0,1,0,0,1,0,0,0,0,0,0,3,22.5,5000,4,8,4
324,2016-Q2,2016-Q3,1,1,450,450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7. Nechako,0,0,0,0,1,Atlin region,0,1,0,0,0,0,1,0,0,0,0,1,4.5,649,2,8,3
393,2016-Q2,2026-Q4,1,42,200,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4. Kootenay,0,0,0,0,1,Kimberley region,0,1,0,0,1,0,0,0,0,0,0,1,21.5,969,4,8,4
394,2040-Q4,2040-Q4,0,0,200,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3. Thompson-Okanagan,0,0,1,0,0,Golden,0,1,0,0,1,0,0,0,0,0,0,0,19.5,969,1,6,5
